code,description,parent_code
22.35,GLAZEN BOUWSTEEN MET MORTEL,22
22.36,LEEMSTEEN MET MORTEL,22
22.41,"BAKSTEEN, GELIJMD",22
22.42,"KALKZANDSTEEN, GELIJMD",22
22.43,"BETONSTEEN, GELIJMD",22
22.44,"GIPSBLOKKEN, GELIJMD",22
22.51,"BAKSTEEN, DROOG GESTAPELD",22
22.52,"BETONSTEEN, DROOG GESTAPELD",22
22.55,"GLAZEN BOUWSTEEN, DROOG GESTAPELD",22
22.60,VOORZIENINGEN IN METSELWERK,22
22.71,"AFKWAST-, VERTIN- EN RAAPLAGEN",22
22.72,VOEGWERK,22
22.81,WAPENING,22
22.82,VERANKERINGEN EN OPVANGCONSTRUCTIES,22
22.83,ISOLATIE,22
22.84,VOCHTKERINGEN,22
22.85,KANAALTOEBEHOREN EN VENTILATIEVOORZIENINGEN,22
22.86,INFORMATIEPLAAT/-ELEMENT,22
22.88,STELPOSTEN,22
23,VOORAF VERVAARDIGDE STEENACHTIGE ELEMENTEN,
23.00,ALGEMEEN,23
23.11,FUNCTIONELE OMSCHRIJVINGEN,23
23.12,WERKBESCHEIDEN,23
23.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",23
23.14,MONSTERS EN PROEFOPSTELLING,23
23.15,INSTRUCTIE/OPLEIDING,23
23.16,INREGELING EN INBEDRIJFSTELLING,23
23.17,REVISIEBESCHEIDEN,23
23.18,GARANTIES,23
23.21,DEMONTEREN/VERWIJDEREN BESTAANDE STEENACHTIGE ELEMENTEN,23
23.22,REINIGEN BESTAANDE STEENACHTIGE ELEMENTEN,23
23.23,VOORBEHANDELEN ONDERGROND BESTAANDE STEENACHTIGE ELEMENTEN,23
23.24,INJECTEREN BESTAANDE STEENACHTIGE ELEMENTEN,23
23.25,HERSTELLEN BESTAANDE STEENACHTIGE ELEMENTEN,23
23.26,AANPASSEN BESTAANDE STEENACHTIGE ELEMENTEN,23
23.27,HERPLAATSEN BESTAANDE STEENACHTIGE ELEMENTEN,23
23.28,ONDERHOUDEN BESTAANDE STEENACHTIGE ELEMENTEN,23
23.30,CONSTRUCTIEVE ELEMENTEN,23
23.31,RUIMTELIJKE ELEMENTEN,23
23.41,NIET-VRIJDRAGENDE VLOERELEMENTEN,23
23.42,VRIJDRAGENDE VLOERELEMENTEN,23
23.43,DAKELEMENTEN,23
23.50,WANDELEMENTEN,23
23.51,KOZIJNELEMENTEN,23
23.61,TRAPELEMENTEN,23
23.62,BALUSTRADE-ELEMENTEN,23
23.70,BEKLEDINGS- EN AFDEKKINGSELEMENTEN,23
23.81,VOCHTKERINGEN,23
23.82,VOEGVULLINGEN,23
23.84,OPLEGGINGEN,23
23.85,DOORVOERINGEN EN SPARINGEN,23
23.88,STELPOSTEN,23
24,RUWBOUWTIMMERWERK,
24.00,ALGEMEEN,24
24.11,FUNCTIONELE OMSCHRIJVINGEN,24
24.12,WERKBESCHEIDEN,24
24.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",24
24.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",24
24.15,INSTRUCTIE/OPLEIDING,24
24.16,"KEURING, INSPECTIE, RAPPORTAGE",24
24.17,REVISIEBESCHEIDEN,24
24.18,GARANTIES,24
24.21,DEMONTEREN/VERWIJDEREN BESTAAND RUWBOUWTIMMERWERK,24
24.22,REINIGEN BESTAAND RUWBOUWTIMMERWERK,24
24.24,INJECTEREN BESTAAND RUWBOUWTIMMERWERK,24
24.25,HERSTELLEN BESTAAND RUWBOUWTIMMERWERK,24
24.26,AANPASSEN BESTAAND RUWBOUWTIMMERWERK,24
24.27,HERPLAATSEN BESTAAND RUWBOUWTIMMERWERK,24
24.28,ONDERHOUDEN BESTAAND RUWBOUWTIMMERWERK,24
24.31,BALKCONSTRUCTIES,24
24.32,"REGEL-, TENGEL- EN RACHELWERK",24
24.41,BESCHIETINGEN,24
24.42,VLAKKE-PLAATBEKLEDINGEN,24
24.43,GEPROFILEERDE-PLAATBEKLEDINGEN,24
24.44,PROFIELSTROKENBEKLEDINGEN,24
24.45,PANEELBEKLEDINGEN,24
24.51,"SPANTEN, LIGGERS EN KOLOMMEN",24
24.52,"VLOER-, WAND- EN DAKELEMENTEN",24
24.53,LUIFELELEMENTEN,24
24.81,ISOLATIE,24
24.82,VOCHTKERINGEN,24
24.83,DAMPREMMENDE/DAMPDOORLATENDE LAGEN,24
24.84,OPLEGGINGEN,24
24.85,ANKERS EN BEVESTIGINGSMIDDELEN,24
24.86,OPPERVLAKTEBEHANDELINGEN,24
24.88,STELPOSTEN,24
25,METAALCONSTRUCTIEWERK,
25.00,ALGEMEEN,25
25.11,FUNCTIONELE OMSCHRIJVINGEN,25
25.12,WERKBESCHEIDEN,25
25.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",25
25.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",25
25.15,INSTRUCTIE/OPLEIDING,25
25.16,"KEURING, INSPECTIE, RAPPORTAGE",25
25.17,REVISIEBESCHEIDEN,25
25.18,GARANTIES,25
25.21,DEMONTEREN/VERWIJDEREN BESTAAND METAALCONSTRUCTIEWERK,25
25.22,REINIGEN BESTAAND METAALCONSTRUCTIEWERK,25
25.25,HERSTELLEN BESTAAND METAALCONSTRUCTIEWERK,25
25.26,AANPASSEN BESTAAND METAALCONSTRUCTIEWERK,25
25.27,HERPLAATSEN BESTAAND METAALCONSTRUCTIEWERK,25
25.28,ONDERHOUDEN BESTAAND METAALCONSTRUCTIEWERK,25
25.31,SKELET,25
25.32,CONSTRUCTIE-ONDERDELEN,25
25.33,"PLATEN, PROFIELEN EN KABELS",25
25.81,VOCHTKERINGEN,25
25.82,OPLEGGINGEN,25
25.83,TOEBEHOREN,25
25.88,STELPOSTEN,25
26,BOUWKUNDIGE KANAALELEMENTEN,
26.00,ALGEMEEN,26
26.11,FUNCTIONELE OMSCHRIJVINGEN,26
26.12,WERKBESCHEIDEN,26
26.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",26
26.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",26
26.15,INSTRUCTIE/OPLEIDING,26
26.16,INREGELING EN INBEDRIJFSTELLING,26
26.17,REVISIEBESCHEIDEN,26
26.18,GARANTIES,26
26.21,DEMONTEREN/VERWIJDEREN BESTAANDE BOUWKUNDIGE KANAALELEMENTEN,26
26.22,REINIGEN BESTAANDE BOUWKUNDIGE KANAALELEMENTEN,26
26.25,HERSTELLEN BESTAANDE BOUWKUNDIGE KANAALELEMENTEN,26
26.26,AANPASSEN BESTAANDE BOUWKUNDIGE KANAALELEMENTEN,26
26.28,ONDERHOUDEN BESTAAND WERK,26
26.31,STEENACHTIGE KANAALELEMENTEN,26
26.32,METALEN KANAALELEMENTEN,26
26.33,KUNSTSTOF KANAALELEMENTEN,26
26.40,"SCHOORSTENEN, KAPPEN EN ROOSTERS",26
26.81,DOORVOERINGEN,26
26.82,BEEINDIGINGEN EN TOEGANGEN,26
26.88,STELPOSTEN,26
30,"KOZIJNEN, RAMEN EN DEUREN",
30.00,ALGEMEEN,30
30.11,FUNCTIONELE OMSCHRIJVINGEN,30
30.12,WERKBESCHEIDEN,30
30.13,"BEPROEVEN, CONTROLEREN, KEUREN, INREGELEN, IN BEDRIJF STELLEN",30
30.14,MONSTERS EN PROEFOPSTELLING,30
30.15,INSTRUCTIE/OPLEIDING,30
30.16,"KEURING, INSPECTIE, RAPPORTAGE",30
